Date,Open,High,Low,Close,Volume 
2014-11-24,365.85,388.72,361.92,378.85,24564
2014-11-25,378.85,395.73,370.64,376.43,45317
2014-11-26,376.43,378.27,363.99,365.35,23979
2014-11-27,365.35,374.43,364.81,368.83,13849
2014-11-28,368.83,383.25,358.37,377.59,43015
2014-11-29,377.59,389.3,372.21,376.28,83451
2014-11-30,376.28,381.06,372.57,374.93,11289
2014-12-01,374.93,383.58,373.02,378.61,19673
2014-12-02,378.61,384.87,375.37,380.64,25285
2014-12-03,380.64,384.67,373.64,376.96,23504
2014-12-04,376.96,380.43,366.24,369.84,25331
2014-12-05,369.84,379.7,366.39,377.63,29989
2014-12-06,377.63,380.33,372.04,376.26,11072
2014-12-07,376.26,377.88,372.46,376.47,8811
2014-12-08,376.47,377.36,364.6,364.95,22917
2014-12-09,364.95,365.35,343.82,352.19,43827
2014-12-10,352.19,354.07,345.09,347.94,27133
2014-12-11,347.94,367.13,337.8,347.68,51080
2014-12-12,347.68,356.43,346,353.4,26850
2014-12-13,353.4,353.1,343.81,348.24,19542
2014-12-14,348.24,351.59,344.61,349.35,12342
2014-12-15,349.35,351.22,343.56,345.37,22160
2014-12-16,345.37,346.45,328.88,330.22,38589
2014-12-17,330.22,335.67,314.31,320.02,61338
2014-12-18,320.02,325.62,303.4,310.34,60516
2014-12-19,310.34,320.24,306.36,317.78,41711
2014-12-20,317.78,332.62,316.05,330.35,29920
2014-12-21,330.35,332.03,320.13,322.63,20668
2014-12-22,322.63,335.26,319.89,330.84,35363
2014-12-23,330.84,339.32,328,335.25,24066
2014-12-24,335.25,336.28,320.65,322.4,21524
2014-12-25,322.4,323.38,316.3,318.99,15388
2014-12-26,318.99,332.88,316.36,329.98,23005
2014-12-27,329.98,330.7,311.98,315.34,21631
2014-12-28,315.34,322.84,310.5,316.53,20414
2014-12-29,316.53,321.61,308.28,314.12,20355
2014-12-30,314.12,316.18,309.25,311.27,22777
2014-12-31,311.27,319.09,308.89,318.24,20496
2015-01-01,318.24,321.36,313.54,314.89,12820
2015-01-02,314.89,316.4,313.08,315.21,14728
2015-01-03,315.21,315.83,284.89,287.13,47366
2015-01-04,287.13,289.94,255.87,264.72,88769
2015-01-05,264.72,278.32,262.89,274.84,54993
2015-01-06,274.84,285.11,271.52,282.27,21939
2015-01-07,282.27,296.06,280.74,291.34,30666
2015-01-08,291.34,292.71,278.99,282.69,20182
2015-01-09,282.69,290.59,277.28,287.97,20924
2015-01-10,287.97,289.25,271.98,273.35,14724
2015-01-11,273.35,278.01,263.76,264.77,15111
2015-01-12,264.77,273.08,263.3,269.33,25384
2015-01-13,269.33,269.1,217.1,221.29,95497
2015-01-14,221.29,230.86,157.29,164.92,170682
2015-01-15,164.92,231.26,164.55,209.78,124666
2015-01-16,209.78,222.63,198.72,206.92,62321
2015-01-17,206.92,212.59,191.71,199.65,43131
2015-01-18,199.65,220.73,192.51,210.62,40367
2015-01-19,210.62,219.48,205.47,215.87,31578
2015-01-20,215.87,216.57,203.42,210.55,37484
2015-01-21,210.55,229.32,207.11,228.17,43184
2015-01-22,228.17,238.78,225.57,232.7,53706
2015-01-23,232.7,236.97,224.84,232.17,38166
2015-01-24,232.17,248.88,229.58,248.16,33239
2015-01-25,248.16,256.43,241.36,252.09,50188
2015-01-26,252.09,310.91,251.5,269.18,105714
2015-01-27,269.18,276.9,247.26,263.27,50260
2015-01-28,263.27,267.66,228.06,236.17,63771
2015-01-29,236.17,241.51,220.36,233.99,54485
2015-01-30,233.99,244.83,227.19,231.84,48226
